Epoch [4], Iter [9], Batch [86], Loss Dec: 6.3319, Loss Rec: 0.0061, Estimator: -0.0788, Disc Acc: 0.80
Epoch [4], Iter [9], Batch [87], Loss Dec: 6.3196, Loss Rec: 0.0083, Estimator: -0.0590, Disc Acc: 0.80
Epoch [4], Iter [9], Batch [88], Loss Dec: 6.3284, Loss Rec: 0.0062, Estimator: -0.0328, Disc Acc: 0.90
Epoch [4], Iter [9], Batch [89], Loss Dec: 6.2949, Loss Rec: 0.0067, Estimator: -0.0374, Disc Acc: 0.90
Epoch [4], Iter [9], Batch [90], Loss Dec: 6.2830, Loss Rec: 0.0072, Estimator: -0.0615, Disc Acc: 0.85
Epoch [4], Iter [9], Batch [91], Loss Dec: 6.3339, Loss Rec: 0.0076, Estimator: -0.0795, Disc Acc: 0.90
Epoch [4], Iter [9], Batch [92], Loss Dec: 6.2979, Loss Rec: 0.0058, Estimator: -0.0363, Disc Acc: 1.00
Epoch [4], Iter [9], Batch [93], Loss Dec: 6.3281, Loss Rec: 0.0067, Estimator: -0.0479, Disc Acc: 0.85
Epoch [4], Iter [9], Batch [94], Loss Dec: 6.3279, Loss Rec: 0.0059, Estimator: -0.0536, Disc Acc: 0.95
Epoch [4], Iter [9], Batch [95], Loss Dec: 6.3081, Loss Rec: 0.0074, Estimator: -0.0459, Disc Acc: 0.95
Epoch [4], Iter [9], Batch [96], Loss Dec: 6.3455, Loss Rec: 0.0090, Estimator: -0.0103, Disc Acc: 0.85
Epoch [4], Iter [9], Batch [97], Loss Dec: 6.3339, Loss Rec: 0.0069, Estimator: -0.0308, Disc Acc: 0.95
Epoch [4], Iter [9], Batch [98], Loss Dec: 6.3127, Loss Rec: 0.0064, Estimator: -0.0329, Disc Acc: 0.95
Epoch [4], Iter [9], Batch [99], Loss Dec: 6.3096, Loss Rec: 0.0087, Estimator: -0.0297, Disc Acc: 0.75
Epoch [4], Iter [9], Batch [100], Loss Dec: 6.3371, Loss Rec: 0.0074, Estimator: -0.0399, Disc Acc: 0.95
Epoch [4], Iter [9], Batch [101], Loss Dec: 6.2906, Loss Rec: 0.0063, Estimator: -0.0626, Disc Acc: 1.00
